smiles,mol_weight,NumAr,reagent-info
CC(=O)c1cnc(N(C)C[C@H]2CC2(C)C)nc1C,247.168462292,1,1772705541
CN[C@H](C)C(=O)c1cccc(Br)c1,241.010226104,1,13985176
CC(=O)c1ccc(-n2ccnc2C)cc1,200.094963004,2,CHEMBL275816
CC(=O)c1ccc(-n2ccnc2C)cc1,200.094963004,2,19871221
CC(=O)c1c(O)cccc1Br,213.962941564,1,71789975
CC(=O)CSc1nnc(-c2ccccc2)n1C,247.077933036,2,2875207
CCNC(=O)Nc1ccc(C(C)=O)cc1,206.105527688,1,2167575
O=C(c1c(O)cccc1F)C(F)(F)F,208.014742248,1,75926833
COc1ccc(-n2cc(C(C)=O)cn2)cc1,216.089877624,2,19087980
CCc1ccc(C(=O)[C@@H](C)N(C)C)cc1,205.146664228,1,37333658
Cc1ccc(C)c(C(=O)CCC(=O)O)c1,206.094294308,1,CHEMBL1486908
Cc1ccc(C)c(C(=O)CCC(=O)O)c1,206.094294308,1,73731
CCN[C@H](C)C(=O)c1ccc(CC)cc1,205.146664228,1,41608809
Nc1cccc(C(=O)CC(F)(F)F)c1,203.055798536,1,141320641
CCN(C)C(=O)Oc1cccc(C(C)=O)c1,221.10519334,1,90411515
C[C@@H](C(=O)c1ccccc1Cl)N(C)C,211.076391748,1,1775953767
Nc1cccc2c1-c1c(N)cccc1C2=O,210.07931294,2,2518915
CC(=O)c1ccnc(Br)c1,198.963275912,1,15443003
O=C(Cn1ccccc1=O)c1ccc(Cl)cc1,247.04000624,2,CHEMBL1706368
O=C(Cn1ccccc1=O)c1ccc(Cl)cc1,247.04000624,2,179379
O=C(c1ccc2nsnc2c1)C(F)(F)F,231.991818376,2,261508983
CC(=O)c1cc(Br)cnc1C,212.978925976,1,215287399
CC(=O)c1ccc(OCCc2cnn(C)c2)cc1,244.121177752,2,227605082
CC(=O)c1cccc(NC(=O)[C@H]2C[C@@H]2C)c1,217.11027872,1,2648231
Cc1ccccc1C(=O)c1c[nH]c(C(=O)O)c1,229.073893212,2,1403994
O=C(c1ccccc1)c1ccc(OCCO)cc1,242.094294308,2,CHEMBL74930
O=C(c1ccccc1)c1ccc(OCCO)cc1,242.094294308,2,3012722
O=C(c1ccccc1)c1ccc(F)cn1,201.058992096,2,86704485
CCC(=O)c1cc(Br)c[nH]1,200.978925976,1,1775955530
CN[C@@H](C)C(=O)c1ccc(Br)cc1,241.010226104,1,38813715
CCC(=O)c1c(O)ccc2[nH]c(C)nc12,204.089877624,2,22135286
CCc1ccc(C(=O)[C@H](C)N(C)C)cc1,205.146664228,1,37333660
CCN[C@H](C)C(=O)c1cccc(CC)c1,205.146664228,1,95215365
COc1nc2ccccc2cc1C(C)=O,201.078978592,2,137250139
CC(=O)c1cnn(-c2ccccc2C)c1,200.094963004,2,19087965
CCCC(=O)c1cc2c(cc1N)OCCO2,221.10519334,1,4535278
COc1ccc(C(=O)c2ccccc2O)c(O)c1,244.073558864,2,CHEMBL1326877
COc1ccc(C(=O)c2ccccc2O)c(O)c1,244.073558864,2,37293
CC(=O)c1ccc2c(c1)OC(F)(F)O2,200.028500492,1,16158400
CC(=O)COc1ccccc1Br,227.978591628,1,41125607
O=C(c1ccc2[nH]ncc2c1)C(F)(F)F,214.03539744,2,100197473
O=C(c1cnc2ccccn12)C(F)(F)Cl,230.0058469,2,16159078
CO[C@H](C)c1nncn1-c1cccc(C(C)=O)c1,245.11642672,2,67673167
CC(=O)c1c(C)nc(-c2ccccc2)nc1N,227.105862036,2,CHEMBL1326439
CC(=O)c1c(C)nc(-c2ccccc2)nc1N,227.105862036,2,274667
COc1cccc(-n2cc(C(C)=O)cn2)c1,216.089877624,2,19087983
COc1cccc(C(=O)[C@@H](C)CN(C)C)c1,221.141578848,1,25108702
CC(=O)c1cnn(COCC[Si](C)(C)C)c1,240.12940441,1,200675350
CC(=O)c1ccc(C(=O)NCc2ccsc2)[nH]1,248.061948624,2,343081774
Cc1ccc(C(=O)Cn2ccsc2=N)cc1,232.067034004,2,CHEMBL383162
Cc1ccc(C(=O)Cn2ccsc2=N)cc1,232.067034004,2,22018605
Cn1ccnc1SCC(=O)c1ccc(O)cc1,248.061948624,2,CHEMBL1618754
Cn1ccnc1SCC(=O)c1ccc(O)cc1,248.061948624,2,503881
CC(=O)c1cc2ccc(C)cc2oc1=O,202.06299418,2,5782186
COCOc1ccccc1C(=O)c1cccnc1,243.089543276,2,19087640
CC(=O)c1cccc(NC(=O)[C@H]2C[C@H]2C)c1,217.11027872,1,2648232
Cn1cc(C(=O)CSCCO)c2ccccc21,249.08234972,2,10007818
CC(=O)c1cccc2ncc(C(=O)O)cc12,215.058243148,2,498047878
O=C(c1ccc2c(c1)CCO2)C(F)(F)F,216.039814124,1,15442240
CC(=O)c1cc(F)nc(N2CCCC2)c1,208.101191256,1,39961263
CC(=O)c1c(-c2ccc(O)c(C)c2)cnn1C,230.105527688,2,426401901
CNC(=O)c1ccccc1C(=O)c1ccccc1,239.094628656,2,397784
O=C(O)CCC(=O)c1ccc(Cl)cc1,212.024021828,1,CHEMBL1741742
O=C(O)CCC(=O)c1ccc(Cl)cc1,212.024021828,1,56552
Cc1ccc(C(=O)CSc2nncn2C)cc1,247.077933036,2,2969538
CC(=O)c1ccc(CO)c(Br)c1,227.978591628,1,228975545
CC(=O)c1cc(Br)ccc1N,212.978925976,1,26522352
CC(=O)c1ccc(Br)cc1N,212.978925976,1,CHEMBL4890451
CC(=O)c1ccc(Br)cc1N,212.978925976,1,34306990
CC(=O)c1cc2c(C)cc(=O)oc2cc1O,218.0579088,2,CHEMBL1347672
CC(=O)c1cc2c(C)cc(=O)oc2cc1O,218.0579088,2,264309
Cn1ccnc1SCC(=O)c1ccccc1,232.067034004,2,CHEMBL1623021
Cn1ccnc1SCC(=O)c1ccccc1,232.067034004,2,123327
O=C(c1ccccc1)c1nncn1-c1ccccc1,249.090211972,3,401332
